,Percentage,Chord_Length,Blade_twist
0,20.0,19.483434436243666,25.196251574603565
1,25.0,22.81751179089432,24.444137978216382
2,30.0,24.14156131739317,23.692541541525845
3,35.0,25.1721823743567,22.233337574520206
4,40.0,26.318779712086474,20.00224912082078
5,45.0,27.448451671424326,17.58883436092068
6,50.0,27.415915151037833,16.365066975414873
7,55.0,28.070167033086086,14.874716085157932
8,60.0,27.329926881572668,13.221666890636628
9,65.0,26.658392792002637,12.17589696996908
10,70.0,25.316473945566464,11.031522912024245
11,75.0,24.047267494452353,10.835138177959994
12,80.0,21.850226617267435,9.982940079026713
13,85.0,19.452896499529,7.912973678878381
14,90.0,16.30059364193887,6.744707960860234
15,95.0,12.042968707948958,5.9659381955478175
